PQ,K,Quantization_time,Total_time
1, 100,  77.821045, 18988.281006
1, 100,  100.850098, 18973.480957
1, 100,  92.149902, 18998.707031
1, 100,  46.192139, 19030.631104
1, 100,  128.206055, 19028.104980
1, 100,  62.091064, 19052.791992
1, 100,  139.761963, 19043.251953
1, 100,  120.581055, 19067.849854
1, 100,  50.373047, 19071.165039
1, 100,  155.686035, 19107.067871
1, 100,  69.727051, 19110.751953
1, 100,  100.498047, 19134.337891
1, 100,  151.031006, 19161.755859
1, 100,  105.593018, 19161.950195
1, 100,  65.170898, 19167.424072
1, 100,  65.140869, 19184.660889
1, 100,  112.619873, 19189.980957
1, 100,  70.291016, 19196.683838
1, 100,  80.960938, 19202.229004
1, 100,  112.486084, 19212.291016
1, 100,  105.983887, 19249.086914
1, 100,  108.336914, 19264.755859
1, 100,  127.259033, 19281.048096
1, 100,  39.584961, 19284.646973
1, 100,  38.389893, 19303.083984
1, 100,  163.528076, 19324.469971
1, 100,  114.854004, 19331.933838
1, 100,  57.996094, 19420.664062
1, 100,  70.855957, 19461.221924
1, 100,  73.724854, 19479.386963
1, 100,  81.187012, 19485.714111
1, 100,  105.966064, 19494.855957
1, 100,  114.265869, 19492.623047
1, 100,  70.073975, 19506.201904
1, 100,  102.781982, 19530.725098
1, 100,  166.145020, 19603.855957
1, 100,  113.122070, 19633.234863
1, 100,  8.635986, 208.703125
1, 100,  9.637939, 230.010010
1, 100,  9.598145, 231.326172
1, 100,  9.634033, 231.389893
1, 100,  9.511963, 225.919922
1, 100,  9.539795, 226.334961
1, 100,  9.571045, 227.484131
1, 100,  9.696045, 226.969971
1, 100,  9.498047, 354.845215
1, 100,  9.639893, 377.458984
1, 100,  12.777100, 391.030029
1, 100,  9.585938, 396.651855
1, 100,  9.536865, 382.286865
1, 100,  9.562988, 397.702148
1, 100,  12.682129, 413.140137
1, 100,  9.979004, 404.446045
1, 100,  12.617920, 416.136963
1, 100,  12.995117, 407.175049
1, 100,  10.068115, 418.459961
1, 100,  11.364014, 405.241943
1, 100,  9.644043, 419.498047
1, 100,  25.933105, 421.111084
1, 100,  25.950928, 424.947021
1, 100,  10.033936, 425.149902
1, 100,  10.086914, 427.697021
1, 100,  9.546875, 414.489990
1, 100,  9.972900, 419.126953
1, 100,  26.553955, 432.711914
1, 100,  12.627930, 422.281982
1, 100,  10.018066, 434.923096
1, 100,  10.020020, 435.066895
1, 100,  12.595215, 416.695068
1, 100,  12.318848, 423.229980
1, 100,  11.177979, 416.875977
1, 100,  19.064941, 440.312988
1, 100,  10.009033, 428.122070
1, 100,  13.462158, 426.989990
1, 100,  13.441895, 442.572021
1, 100,  11.921875, 416.773926
1, 100,  12.323975, 421.338867
1, 100,  26.639893, 444.445068
1, 100,  10.979004, 431.634033
1, 100,  10.346924, 444.804932
1, 100,  36.591064, 445.132080
1, 100,  10.041016, 431.738037
1, 100,  16.613037, 434.894043
1, 100,  9.956055, 440.550049
1, 100,  10.093994, 448.786865
1, 100,  35.778076, 449.524902
1, 100,  12.091064, 435.223877
1, 100,  26.534912, 450.531982
1, 100,  13.406006, 437.787842
1, 100,  10.549072, 441.858887
1, 100,  10.165039, 440.303955
1, 100,  10.182861, 440.366943
1, 100,  13.349121, 440.464111
1, 100,  13.379883, 440.695068
1, 100,  36.542969, 455.003906
1, 100,  24.961914, 455.305908
1, 100,  26.570801, 449.586914
1, 100,  23.254883, 457.647949
1, 100,  9.978027, 443.391846
1, 100,  13.293945, 444.830078
1, 100,  9.975098, 452.946045
1, 100,  10.952148, 453.079102
1, 100,  29.643066, 459.927002
1, 100,  29.092041, 449.159912
1, 100,  17.315186, 449.530029
1, 100,  9.993164, 460.499023
1, 100,  12.308105, 442.813965
1, 100,  15.794189, 451.370117
1, 100,  13.018066, 462.015137
1, 100,  12.975830, 462.686035
1, 100,  10.010986, 452.726074
1, 100,  13.276123, 449.817139
1, 100,  13.326904, 450.072998
1, 100,  9.988037, 453.458984
1, 100,  9.992920, 453.710938
1, 100,  26.072998, 465.781982
1, 100,  9.926025, 459.312012
1, 100,  10.120850, 455.390869
1, 100,  31.150879, 466.886963
1, 100,  17.469971, 456.556885
1, 100,  12.037109, 452.702148
1, 100,  9.966797, 457.279785
1, 100,  10.504150, 461.955078
1, 100,  22.540039, 468.604980
1, 100,  28.900879, 469.447021
1, 100,  36.959961, 469.937988
1, 100,  35.205078, 470.778076
1, 100,  11.098145, 464.302002
1, 100,  24.070068, 460.418213
1, 100,  28.839111, 471.041992
1, 100,  9.994873, 461.421875
1, 100,  13.447021, 472.239014
1, 100,  10.034912, 473.319092
1, 100,  10.281982, 467.390869
1, 100,  10.302979, 474.535889
1, 100,  20.813965, 474.932129
1, 100,  10.195801, 464.676025
1, 100,  12.980957, 477.156982
1, 100,  20.747070, 480.403076
1, 100,  11.199219, 474.731201
1, 100,  37.872803, 491.927002
1, 100,  59.735840, 463.988770
1, 100,  13.472168, 481.000977
1, 100,  12.677979, 485.549072
1, 100,  38.010986, 498.017090
1, 100,  13.463135, 501.736084
1, 100,  26.138916, 502.225098
1, 100,  10.176025, 498.087158
1, 100,  12.597168, 485.565186
1, 100,  11.793945, 504.720947
1, 100,  10.014160, 501.571045
1, 100,  13.114014, 502.790039
1, 100,  28.908936, 524.638916
1, 100,  9.993896, 509.935059
1, 100,  10.177002, 514.165039
1, 100,  26.687988, 519.760986
1, 100,  13.980957, 526.689941
1, 100,  10.017090, 513.160156
1, 100,  13.950928, 530.985840
1, 100,  25.505127, 533.578125
1, 100,  11.810059, 520.899170
1, 100,  42.524902, 539.084961
1, 100,  10.000000, 524.863037
1, 100,  12.626953, 539.992188
1, 100,  10.065918, 546.624023
1, 100,  12.937988, 532.238037
1, 100,  13.025879, 533.342041
1, 100,  12.439941, 525.814941
1, 100,  32.670898, 549.729004
1, 100,  13.948975, 550.090088
1, 100,  40.551025, 539.593018
1, 100,  12.085938, 536.652100
1, 100,  19.336182, 540.841064
1, 100,  10.397949, 545.092041
1, 100,  13.052002, 553.334961
1, 100,  10.012207, 553.624023
1, 100,  37.291992, 539.240967
1, 100,  9.998047, 554.576904
1, 100,  13.260010, 555.523926
1, 100,  13.278076, 542.525146
1, 100,  13.457031, 557.458008
1, 100,  10.348877, 557.601074
1, 100,  13.326904, 546.775879
1, 100,  37.497803, 561.666016
1, 100,  25.380127, 562.064941
1, 100,  28.813965, 565.214111
1, 100,  13.274902, 565.054932
1, 100,  12.041016, 553.062988
1, 100,  11.442871, 569.243896
1, 100,  10.343018, 570.146973
1, 100,  39.302002, 551.752930
1, 100,  12.899902, 570.918945
1, 100,  36.468994, 549.451904
1, 100,  9.989990, 572.170898
1, 100,  11.008789, 557.768799
1, 100,  31.294922, 573.285889
1, 100,  11.740967, 547.980957
1, 100,  12.908936, 575.009033
1, 100,  11.441895, 580.317871
1, 100,  64.180908, 550.291016
1, 100,  13.578125, 575.493164
1, 100,  26.777832, 576.210938
1, 100,  13.290039, 583.174072
1, 100,  10.993896, 571.328857
1, 100,  10.029053, 571.848145
1, 100,  13.344971, 585.249023
1, 100,  9.952881, 579.310059
1, 100,  19.694092, 547.603027
1, 100,  27.635010, 595.290039
1, 100,  37.766113, 598.390137
1, 100,  9.991943, 598.953857
1, 100,  12.834961, 585.082031
1, 100,  12.833008, 585.755127
1, 100,  14.011963, 602.983887
1, 100,  13.312012, 603.861084
1, 100,  11.713135, 598.041016
1, 100,  10.349854, 607.683838
1, 100,  42.000977, 593.030029
1, 100,  56.769043, 615.468994
1, 100,  35.387939, 614.698975
1, 100,  36.669922, 614.708984
